    -2.5    -1.3        0.10256     0.00969192
    -1.3    -0.8        0.23164     0.02133404
    -0.8    -0.4        0.29354     0.02219162
    -0.4       0        0.34103     0.02448595
       0     0.4        0.37193     0.02480773
     0.4     0.8        0.31892     0.02548171
     0.8     1.3        0.22941     0.02011926
     1.3     2.5       0.093123    0.008409007
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028/top2_rapidity
AidaPath=/REF/CMS_TOP_12_028/top2_rapidity
XLabel=Next leading top quark rapidity
YLabel=$1/\sigma d\sigma/dy^{t~{NLead.t}}$
PolyMarker=*
ErrorBars=1
## Area: 1.000000e+00
## Num bins: 8
## xlow   xhigh     val     errminus  errplus
    -2.5    -1.3       0.094962     0.01177529
    -1.3    -0.8        0.23608      0.0215305
    -0.8    -0.4        0.32306     0.02807391
    -0.4       0        0.34589     0.03389722
       0     0.4        0.32113       0.032113
     0.4     0.8        0.31396      0.0282878
     0.8     1.3        0.24095     0.02395043
     1.3     2.5       0.096228     0.01154736
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028/ttbar_pT
AidaPath=/REF/CMS_TOP_12_028/ttbar_pT
XLabel=$\ttbar transverse momentum p_T (GeV/c)$
YLabel=$1/\sigma d\sigma/dp_T^{\ttbar} (1/GeV/c)$
PolyMarker=*
ErrorBars=1
## Area: 1.000000e+00
## Num bins: 4
## xlow   xhigh     val     errminus  errplus
       0      20       0.013562    0.001410448
      20      60      0.0099043    0.000587325
      60     120      0.0034783   0.0001561757
     120     300     0.00060439    4.12194e-05
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028/ttbar_rapidity
AidaPath=/REF/CMS_TOP_12_028/ttbar_rapidity
XLabel=$\ttbar rapidity$
YLabel=$1/\sigma d\sigma/dy^{\ttbar}$
PolyMarker=*
ErrorBars=1
## Area: 1.000000e+00
## Num bins: 6
## xlow   xhigh     val     errminus  errplus
    -2.5    -1.5       0.044379    0.006878745
    -1.5    -0.7        0.21903     0.01255042
    -0.7       0        0.39409     0.01627592
       0     0.7        0.40311     0.01592285
     0.7     1.5        0.20841     0.01185853
     1.5     2.5        0.04116      0.0057624
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028/ttbar_mass
AidaPath=/REF/CMS_TOP_12_028/ttbar_mass
XLabel=$\ttbar invariant mass (GeV/c^{2})$
YLabel=$1/\sigma d\sigma/dm^{\ttbar} (1/GeV/c^{2})$
PolyMarker=*
ErrorBars=1
## Area: 1.000000e+00
## Num bins: 5
## xlow   xhigh     val     errminus  errplus
     345     400      0.0049598   0.0005108594
     400     475      0.0043264   0.0002504986
     475     550        0.00238    0.000202776
     550     700      0.0010142   8.184594e-05
     700    1000     0.00022235   1.950009e-05
# END HISTOGRAM
