*lumiCalc2.py -i Cert_8TeV_Run2012ABCD_Golden_JSON.txt overview >& Cert_8TeV_Run2012ABCD_Golden_JSON.log
********************************************************************************
* Wed Feb  6 14:51:04 2013 UTC
* lumitype: HF , datatag: v10 , normtag: HFV2c , worktag: V04-01-09
* 
* by:
* /afs/cern.ch/work/y/youngjo/8TeV/v3/CMGTools/CMSSW_5_3_3_patch3/bin/slc5_amd64_gcc462/lumiCalc2.py
* 
* update: V04-02-01
********************************************************************************
 ==  = 
|    Run:Fill | Delivered LS |     Delivered |          Selected LS |      Recorded |
|             |              |               |          [1141-1142] |               |
| 200990:2976 |           69 |   9.338 (/pb) |             [75-143] |   8.946 (/pb) |
| 200991:2976 |         1034 |  98.931 (/pb) |     [1-42], [44-44], |  97.295 (/pb) |
|             |              |               |   [47-80], [83-175], |               |
|             |              |               |           [178-181], |               |
|             |              |               |           [184-252], |               |
|             |              |               |           [255-632], |               |
|             |              |               |           [635-916], |               |
|             |              |               |          [918-1017], |               |
|             |              |               |          [1019-1049] |               |
| 200992:2976 |          578 |  35.982 (/pb) |  [1-405], [408-434], |  35.731 (/pb) |
|             |              |               |            [436-581] |               |
| 201062:2978 |          193 |  26.994 (/pb) |             [78-270] |  26.197 (/pb) |
| 201097:2980 |          412 |  51.901 (/pb) | [83-136], [138-245], |  50.517 (/pb) |
|             |              |               |           [248-300], |               |
|             |              |               |           [303-370], |               |
|             |              |               | [372-429], [432-502] |               |
| 201114:2981 |           14 |   2.168 (/pb) |               [1-14] |   1.954 (/pb) |
| 201115:2981 |           75 |  10.579 (/pb) |               [1-75] |  10.172 (/pb) |
| 201159:2983 |          142 |  21.087 (/pb) |             [70-211] |  19.708 (/pb) |
| 201164:2983 |          409 |  48.868 (/pb) |      [1-8], [10-94], |  47.854 (/pb) |
|             |              |               | [96-125], [128-178], |               |
|             |              |               |           [180-198], |               |
|             |              |               |           [200-271], |               |
|             |              |               | [274-416], [418-418] |               |
| 201168:2983 |          725 |  61.755 (/pb) |    [1-37], [39-275], |  60.968 (/pb) |
|             |              |               |           [278-481], |               |
|             |              |               | [483-558], [560-730] |               |
| 201173:2983 |          584 |  35.641 (/pb) |   [1-194], [197-586] |  35.386 (/pb) |
| 201174:2983 |          447 |  21.591 (/pb) |  [1-214], [216-263], |  21.395 (/pb) |
|             |              |               | [265-339], [342-451] |               |
| 201191:2984 |         1291 | 136.883 (/pb) |  [75-98], [100-216], | 134.242 (/pb) |
|             |              |               |           [218-389], |               |
|             |              |               |           [392-492], |               |
|             |              |               |           [494-506], |               |
|             |              |               |           [509-585], |               |
|             |              |               |           [587-594], |               |
|             |              |               |           [597-607], |               |
|             |              |               |           [609-794], |               |
|             |              |               |           [796-838], |               |
|             |              |               |           [841-974], |               |
|             |              |               |          [977-1105], |               |
|             |              |               |         [1108-1117], |               |
|             |              |               |         [1120-1382], |               |
|             |              |               |          [1384-1386] |               |
| 201193:2984 |           19 |   1.336 (/pb) |               [1-19] |   1.289 (/pb) |
| 201196:2984 |          811 |  47.274 (/pb) |  [1-238], [241-278], |  46.833 (/pb) |
|             |              |               |           [286-299], |               |
|             |              |               |           [302-338], |               |
|             |              |               |           [341-515], |               |
|             |              |               |           [518-720], |               |
|             |              |               | [723-789], [803-841] |               |
| 201197:2984 |           23 |   1.113 (/pb) |               [1-23] |   1.061 (/pb) |
| 201202:2984 |          437 |  17.394 (/pb) |              [1-437] |  17.211 (/pb) |
| 201229:2987 |           73 |  10.593 (/pb) |       [1-5], [8-26], |  10.324 (/pb) |
|             |              |               |              [29-77] |               |
| 201278:2991 |         2089 | 171.742 (/pb) | [62-163], [166-229], | 169.617 (/pb) |
|             |              |               |           [232-256], |               |
|             |              |               |           [259-316], |               |
|             |              |               |           [318-595], |               |
|             |              |               |           [598-938], |               |
|             |              |               |           [942-974], |               |
|             |              |               |          [976-1160], |               |
|             |              |               |         [1163-1304], |               |
|             |              |               |         [1306-1793], |               |
|             |              |               |         [1796-1802], |               |
|             |              |               |         [1805-1906], |               |
|             |              |               |         [1909-1929], |               |
|             |              |               |          [1932-2174] |               |
| 201554:2995 |           56 |   8.304 (/pb) |   [70-86], [88-114], |   8.009 (/pb) |
|             |              |               |            [116-127] |               |
| 201602:2996 |          559 |  69.836 (/pb) |   [76-81], [83-194], |  67.957 (/pb) |
|             |              |               |           [196-494], |               |
|             |              |               | [496-614], [617-639] |               |
| 201611:2997 |           96 |  14.941 (/pb) | [87-145], [149-182], |  13.953 (/pb) |
|             |              |               |            [184-186] |               |
| 201613:2997 |          649 |  75.536 (/pb) |     [1-42], [44-49], |  74.526 (/pb) |
|             |              |               | [53-210], [213-215], |               |
|             |              |               | [218-225], [228-659] |               |
| 201624:2998 |          157 |  24.982 (/pb) |   [83-92], [95-240], |  23.804 (/pb) |
|             |              |               |            [270-270] |               |
| 201625:2998 |          732 |  72.543 (/pb) |           [211-312], |  71.724 (/pb) |
|             |              |               |           [315-348], |               |
|             |              |               |           [351-416], |               |
|             |              |               |           [418-588], |               |
|             |              |               |           [591-671], |               |
|             |              |               |           [673-758], |               |
|             |              |               | [760-791], [793-952] |               |
| 201657:3000 |           40 |   6.446 (/pb) |   [77-93], [95-108], |   5.910 (/pb) |
|             |              |               |            [110-118] |               |
| 201658:3000 |          287 |  38.634 (/pb) |    [1-19], [21-118], |  37.863 (/pb) |
|             |              |               | [121-136], [139-292] |               |
| 201668:3002 |           80 |  12.545 (/pb) |             [78-157] |  11.900 (/pb) |
| 201669:3002 |          160 |  22.490 (/pb) |     [1-9], [12-136], |  21.913 (/pb) |
|             |              |               | [139-141], [143-165] |               |
| 201671:3002 |          990 |  95.289 (/pb) |  [1-120], [122-174], |  94.005 (/pb) |
|             |              |               |           [177-462], |               |
|             |              |               |           [464-482], |               |
|             |              |               |           [485-499], |               |
|             |              |               |           [501-545], |               |
|             |              |               |           [547-571], |               |
|             |              |               |           [574-614], |               |
|             |              |               |           [617-766], |               |
|             |              |               |           [768-896], |               |
|             |              |               |           [899-911], |               |
|             |              |               |           [914-1007] |               |
| 201678:3002 |          120 |   8.360 (/pb) |              [1-120] |   8.275 (/pb) |
| 201679:3002 |          484 |  28.772 (/pb) |  [1-110], [112-241], |  28.480 (/pb) |
|             |              |               |           [244-298], |               |
|             |              |               |           [302-321], |               |
|             |              |               | [324-461], [463-493] |               |
| 201692:3003 |          102 |  15.642 (/pb) |    [78-81], [83-180] |  15.111 (/pb) |
| 201705:3005 |          121 |  17.876 (/pb) |   [65-73], [75-109], |  17.300 (/pb) |
|             |              |               |            [111-187] |               |
| 201706:3005 |           62 |   8.346 (/pb) |               [1-62] |   8.073 (/pb) |
| 201707:3005 |          939 |  92.274 (/pb) |     [1-23], [26-42], |  91.212 (/pb) |
|             |              |               | [45-115], [118-130], |               |
|             |              |               |           [133-160], |               |
|             |              |               |           [163-276], |               |
|             |              |               |           [279-471], |               |
|             |              |               |           [473-511], |               |
|             |              |               |           [514-545], |               |
|             |              |               |           [547-570], |               |
|             |              |               |           [572-622], |               |
|             |              |               |           [625-735], |               |
|             |              |               |           [738-806], |               |
|             |              |               | [809-876], [879-964] |               |
| 201708:3005 |           87 |   5.758 (/pb) |               [1-87] |   5.713 (/pb) |
| 201718:3006 |           56 |   7.606 (/pb) |             [58-113] |   7.410 (/pb) |
| 201727:3007 |          119 |  17.508 (/pb) |             [67-185] |  16.941 (/pb) |
| 201729:3007 |          232 |  29.127 (/pb) |     [6-20], [22-75], |  28.686 (/pb) |
|             |              |               | [77-126], [129-154], |               |
|             |              |               | [156-216], [219-244] |               |
| 201794:3009 |           43 |   5.885 (/pb) |             [58-100] |   5.651 (/pb) |
| 201802:3011 |          224 |  32.934 (/pb) | [68-209], [211-214], |  31.534 (/pb) |
|             |              |               |           [216-220], |               |
|             |              |               | [223-288], [290-296] |               |
| 201816:3011 |          155 |  15.793 (/pb) |    [1-72], [74-105], |  15.588 (/pb) |
|             |              |               |            [107-157] |               |
| 201817:3011 |          274 |  24.498 (/pb) |              [1-274] |  24.137 (/pb) |
| 201818:3011 |            1 |  82.358 (/nb) |                [1-1] |  80.225 (/nb) |
| 201819:3011 |          240 |  18.512 (/pb) |     [1-94], [96-241] |  18.272 (/pb) |
| 201824:3011 |          487 |  31.278 (/pb) |  [1-139], [141-176], |  31.019 (/pb) |
|             |              |               | [179-286], [289-492] |               |
| 202012:3016 |           30 |   4.222 (/pb) |  [98-121], [126-131] |   3.307 (/pb) |
| 202013:3016 |           53 |   7.058 (/pb) |       [1-2], [5-35], |   6.204 (/pb) |
|             |              |               |              [38-57] |               |
| 202014:3016 |          187 |  21.766 (/pb) |       [1-5], [8-14], |  19.784 (/pb) |
|             |              |               |    [16-18], [20-77], |               |
|             |              |               | [79-102], [104-174], |               |
|             |              |               | [177-190], [192-196] |               |
| 202016:3016 |         1004 |  78.658 (/pb) |    [1-48], [51-134], |  77.981 (/pb) |
|             |              |               |           [137-177], |               |
|             |              |               |           [179-743], |               |
|             |              |               |           [745-831], |               |
|             |              |               |           [834-890], |               |
|             |              |               |           [893-896], |               |
|             |              |               |           [898-932], |               |
|             |              |               |           [934-1016] |               |
| 202044:3018 |          379 |  48.392 (/pb) | [84-101], [104-266], |  47.319 (/pb) |
|             |              |               | [268-461], [463-466] |               |
| 202045:3018 |          804 |  71.099 (/pb) |     [1-30], [33-72], |  70.099 (/pb) |
|             |              |               | [75-528], [531-601], |               |
|             |              |               |           [603-785], |               |
|             |              |               | [788-809], [822-825] |               |
| 202054:3018 |          621 |  36.865 (/pb) |  [6-266], [268-489], |  36.625 (/pb) |
|             |              |               | [492-605], [608-631] |               |
| 202060:3019 |          858 |  91.047 (/pb) | [76-142], [144-154], |  89.797 (/pb) |
|             |              |               |           [156-244], |               |
|             |              |               |           [246-497], |               |
|             |              |               |           [499-642], |               |
|             |              |               |           [644-682], |               |
|             |              |               | [684-743], [746-941] |               |
| 202074:3020 |          109 |  16.040 (/pb) |             [66-174] |  15.509 (/pb) |
| 202075:3020 |          611 |  67.261 (/pb) |    [1-18], [21-187], |  66.328 (/pb) |
|             |              |               |           [189-214], |               |
|             |              |               |           [217-247], |               |
|             |              |               |           [250-342], |               |
|             |              |               |           [345-406], |               |
|             |              |               |           [409-497], |               |
|             |              |               |           [500-537], |               |
|             |              |               |           [539-539], |               |
|             |              |               |           [542-560], |               |
|             |              |               | [562-615], [618-630] |               |
| 202084:3021 |          153 |  21.270 (/pb) | [83-156], [159-177], |  20.647 (/pb) |
|             |              |               | [179-180], [182-239] |               |
| 202087:3021 |         1085 | 100.048 (/pb) |    [1-25], [28-208], |  98.752 (/pb) |
|             |              |               |           [210-357], |               |
|             |              |               |           [359-652], |               |
|             |              |               |           [655-853], |               |
|             |              |               |           [856-1093] |               |
| 202088:3021 |          286 |  17.914 (/pb) |              [1-286] |  17.750 (/pb) |
| 202093:3021 |          357 |  18.519 (/pb) |  [1-104], [107-320], |  18.378 (/pb) |
|             |              |               |            [322-360] |               |
| 202116:3023 |            6 | 309.910 (/nb) |              [59-64] | 292.288 (/nb) |
| 202178:3025 |         1468 | 129.806 (/pb) |    [67-78], [80-88], | 128.286 (/pb) |
|             |              |               | [91-177], [180-186], |               |
|             |              |               |           [188-337], |               |
|             |              |               |           [340-377], |               |
|             |              |               |           [379-425], |               |
|             |              |               |           [428-475], |               |
|             |              |               |           [478-548], |               |
|             |              |               |           [551-717], |               |
|             |              |               |           [720-965], |               |
|             |              |               |          [967-1444], |               |
|             |              |               |         [1447-1505], |               |
|             |              |               |         [1508-1519], |               |
|             |              |               |          [1522-1558] |               |
| 202205:3027 |           21 |   2.898 (/pb) |             [94-114] |   2.816 (/pb) |
| 202209:3027 |          157 |  17.665 (/pb) |     [1-48], [51-159] |  17.375 (/pb) |
| 202237:3029 |         1023 | 116.587 (/pb) | [39-128], [131-131], | 114.785 (/pb) |
|             |              |               |           [134-219], |               |
|             |              |               |           [222-235], |               |
|             |              |               |           [238-275], |               |
|             |              |               |           [277-289], |               |
|             |              |               |           [291-316], |               |
|             |              |               |           [319-419], |               |
|             |              |               |           [422-538], |               |
|             |              |               |           [540-936], |               |
|             |              |               |           [939-950], |               |
|             |              |               |           [952-976], |               |
|             |              |               |           [979-1081] |               |
| 202272:3032 |         1274 | 110.559 (/pb) | [76-112], [115-141], | 109.235 (/pb) |
|             |              |               |           [144-185], |               |
|             |              |               |           [188-205], |               |
|             |              |               |           [208-305], |               |
|             |              |               |           [307-313], |               |
|             |              |               |           [315-371], |               |
|             |              |               |           [436-480], |               |
|             |              |               |           [483-555], |               |
|             |              |               |           [558-577], |               |
|             |              |               |           [579-683], |               |
|             |              |               |           [686-705], |               |
|             |              |               |           [707-740], |               |
|             |              |               |           [742-890], |               |
|             |              |               |          [937-1295], |               |
|             |              |               |          [1299-1481] |               |
| 202299:3033 |          476 |  61.904 (/pb) |   [68-84], [87-141], |  60.586 (/pb) |
|             |              |               |           [143-193], |               |
|             |              |               |           [196-358], |               |
|             |              |               |           [361-379], |               |
|             |              |               |           [382-414], |               |
|             |              |               | [416-452], [455-555] |               |
| 202305:3033 |          319 |  22.268 (/pb) |    [1-89], [92-130], |  22.107 (/pb) |
|             |              |               |            [133-323] |               |
| 202314:3034 |          214 |  32.182 (/pb) | [67-104], [107-265], |  31.269 (/pb) |
|             |              |               |            [268-284] |               |
| 202328:3036 |          557 |  72.529 (/pb) |   [46-89], [92-156], |  70.945 (/pb) |
|             |              |               |           [158-276], |               |
|             |              |               |           [278-291], |               |
|             |              |               |           [294-434], |               |
|             |              |               |           [437-460], |               |
|             |              |               |           [463-586], |               |
|             |              |               | [588-610], [612-614] |               |
| 202333:3036 |          251 |  23.270 (/pb) |              [1-251] |  23.036 (/pb) |
| 202389:3039 |          120 |  17.861 (/pb) | [81-182], [185-190], |  17.306 (/pb) |
|             |              |               |            [192-203] |               |
| 202469:3045 |          263 |  38.293 (/pb) | [87-158], [160-174], |  37.394 (/pb) |
|             |              |               |            [177-352] |               |
| 202472:3045 |          110 |  13.349 (/pb) |     [1-96], [99-112] |  13.086 (/pb) |
| 202477:3045 |          149 |  16.187 (/pb) |   [1-129], [131-150] |  15.872 (/pb) |
| 202478:3045 |         1229 |  95.284 (/pb) |  [1-177], [180-183], |  94.365 (/pb) |
|             |              |               |           [186-219], |               |
|             |              |               |           [222-360], |               |
|             |              |               |           [362-506], |               |
|             |              |               |           [509-531], |               |
|             |              |               |           [534-718], |               |
|             |              |               |           [720-927], |               |
|             |              |               |           [929-973], |               |
|             |              |               |          [975-1029], |               |
|             |              |               |         [1031-1186], |               |
|             |              |               |         [1189-1212], |               |
|             |              |               |          [1215-1248] |               |
| 202504:3047 |         1606 | 143.032 (/pb) |   [77-96], [99-133], | 141.123 (/pb) |
|             |              |               |           [135-182], |               |
|             |              |               |           [184-211], |               |
|             |              |               |           [213-241], |               |
|             |              |               |           [243-392], |               |
|             |              |               |           [395-527], |               |
|             |              |               |           [529-617], |               |
|             |              |               |           [620-715], |               |
|             |              |               |           [718-763], |               |
|             |              |               |          [766-1172], |               |
|             |              |               |         [1174-1247], |               |
|             |              |               |         [1250-1471], |               |
|             |              |               |         [1474-1679], |               |
|             |              |               |          [1682-1704] |               |
| 202972:3067 |          535 |  57.532 (/pb) |    [1-30], [33-184], |  56.826 (/pb) |
|             |              |               |           [186-290], |               |
|             |              |               |           [292-295], |               |
|             |              |               |           [298-371], |               |
|             |              |               | [374-429], [431-544] |               |
| 202973:3067 |         1394 |  87.665 (/pb) |  [1-234], [237-305], |  87.000 (/pb) |
|             |              |               |           [308-437], |               |
|             |              |               |           [439-530], |               |
|             |              |               |           [532-541], |               |
|             |              |               |           [544-552], |               |
|             |              |               |           [555-851], |               |
|             |              |               |           [853-909], |               |
|             |              |               |           [913-1408] |               |
| 203002:3071 |         1496 | 139.386 (/pb) | [77-128], [130-141], | 137.328 (/pb) |
|             |              |               |           [144-207], |               |
|             |              |               |           [209-267], |               |
|             |              |               |           [270-360], |               |
|             |              |               |           [362-501], |               |
|             |              |               |           [504-641], |               |
|             |              |               |           [643-669], |               |
|             |              |               |           [671-671], |               |
|             |              |               |           [674-717], |               |
|             |              |               |          [720-1034], |               |
|             |              |               |         [1037-1070], |               |
|             |              |               |         [1073-1370], |               |
|             |              |               |         [1372-1392], |               |
|             |              |               |         [1395-1410], |               |
|             |              |               |          [1413-1596] |               |
| 203894:3113 |         1235 | 101.633 (/pb) | [82-272], [275-477], | 100.639 (/pb) |
|             |              |               |           [480-902], |               |
|             |              |               |           [905-1322] |               |
| 203909:3114 |          298 |  41.082 (/pb) | [79-113], [116-117], |  39.655 (/pb) |
|             |              |               | [120-140], [143-382] |               |
| 203912:3114 |         1311 | 105.573 (/pb) |  [1-306], [308-566], | 104.586 (/pb) |
|             |              |               |           [569-609], |               |
|             |              |               |           [611-698], |               |
|             |              |               |           [701-820], |               |
|             |              |               |           [823-865], |               |
|             |              |               |          [867-1033], |               |
|             |              |               |          [1035-1321] |               |
| 203985:3121 |           10 |   1.164 (/pb) |               [1-10] | 419.286 (/nb) |
| 203986:3121 |           45 |   5.074 (/pb) |               [1-45] |   2.088 (/pb) |
| 203987:3121 |         1007 |  83.720 (/pb) |     [1-9], [12-241], |  82.967 (/pb) |
|             |              |               |           [243-339], |               |
|             |              |               |           [342-781], |               |
|             |              |               |           [784-1014] |               |
| 203991:3121 |            3 | 188.874 (/nb) |                [1-3] | 113.370 (/nb) |
| 203992:3121 |           15 | 939.863 (/nb) |               [1-15] | 817.815 (/nb) |
| 203994:3121 |          419 |  23.530 (/pb) |    [1-56], [59-136], |  23.273 (/pb) |
|             |              |               |           [139-304], |               |
|             |              |               | [306-342], [344-425] |               |
| 204100:3124 |           23 |   3.212 (/pb) |            [117-139] |   3.050 (/pb) |
| 204101:3124 |           83 |   9.785 (/pb) |               [1-83] |   9.467 (/pb) |
| 204113:3126 |          599 |  77.974 (/pb) |   [82-96], [98-102], |  76.174 (/pb) |
|             |              |               |           [105-127], |               |
|             |              |               |           [129-191], |               |
|             |              |               |           [194-258], |               |
|             |              |               |           [261-327], |               |
|             |              |               |           [329-388], |               |
|             |              |               |           [390-400], |               |
|             |              |               |           [402-583], |               |
|             |              |               |           [585-690], |               |
|             |              |               | [693-693], [696-696] |               |
| 204114:3126 |          364 |  33.919 (/pb) |              [1-364] |  33.496 (/pb) |
| 204238:3128 |           36 |   4.465 (/pb) |     [23-52], [55-60] |   4.347 (/pb) |
| 204250:3129 |          699 |  80.741 (/pb) | [92-118], [121-177], |  79.421 (/pb) |
|             |              |               |           [179-285], |               |
|             |              |               |           [287-336], |               |
|             |              |               |           [339-400], |               |
|             |              |               |           [403-521], |               |
|             |              |               |           [524-543], |               |
|             |              |               | [546-682], [684-803] |               |
| 204511:3131 |           60 |   5.917 (/pb) |               [1-60] |   5.860 (/pb) |
| 204541:3133 |          194 |  29.365 (/pb) |     [5-39], [42-42], |  27.872 (/pb) |
|             |              |               | [44-139], [142-149], |               |
|             |              |               |            [151-204] |               |
| 204544:3133 |          419 |  47.797 (/pb) |     [1-11], [13-93], |  46.890 (/pb) |
|             |              |               | [96-195], [197-224], |               |
|             |              |               | [226-334], [337-426] |               |
| 204552:3133 |            9 | 631.587 (/nb) |                [1-9] | 577.343 (/nb) |
| 204553:3133 |          100 |   6.817 (/pb) |     [1-51], [53-60], |   6.592 (/pb) |
|             |              |               |  [63-101], [103-104] |               |
| 204554:3133 |          507 |  30.310 (/pb) |      [1-5], [7-221], |  30.022 (/pb) |
|             |              |               |           [224-455], |               |
|             |              |               |           [458-470], |               |
|             |              |               | [472-481], [483-514] |               |
| 204555:3133 |          333 |  16.789 (/pb) |   [1-329], [331-334] |  16.702 (/pb) |
| 204563:3134 |          468 |  60.255 (/pb) |  [91-99], [102-178], |  59.000 (/pb) |
|             |              |               |           [180-219], |               |
|             |              |               |           [222-229], |               |
|             |              |               |           [231-364], |               |
|             |              |               |           [366-366], |               |
|             |              |               |           [369-470], |               |
|             |              |               | [473-524], [527-571] |               |
| 204564:3134 |         1261 | 104.340 (/pb) |     [1-84], [87-89], | 103.222 (/pb) |
|             |              |               | [92-159], [161-187], |               |
|             |              |               |           [190-191], |               |
|             |              |               |           [193-293], |               |
|             |              |               |           [296-315], |               |
|             |              |               |           [317-340], |               |
|             |              |               |           [343-427], |               |
|             |              |               |           [429-434], |               |
|             |              |               |           [437-735], |               |
|             |              |               |           [737-855], |               |
|             |              |               |          [858-1206], |               |
|             |              |               |         [1209-1248], |               |
|             |              |               |          [1251-1284] |               |
| 204565:3134 |           48 |   2.889 (/pb) |               [1-48] |   2.839 (/pb) |
| 204566:3134 |           12 | 709.037 (/nb) |               [1-12] | 663.640 (/nb) |
| 204567:3134 |           38 |   2.211 (/pb) |               [1-38] |   2.196 (/pb) |
| 204576:3135 |          251 |  36.127 (/pb) |  [49-192], [195-301] |  34.192 (/pb) |
| 204577:3135 |         1270 | 117.185 (/pb) |     [1-46], [49-64], | 115.942 (/pb) |
|             |              |               | [67-105], [107-170], |               |
|             |              |               |           [173-181], |               |
|             |              |               |           [183-193], |               |
|             |              |               |           [196-653], |               |
|             |              |               |           [656-669], |               |
|             |              |               |           [671-740], |               |
|             |              |               |           [742-913], |               |
|             |              |               |          [915-1057], |               |
|             |              |               |         [1059-1115], |               |
|             |              |               |          [1117-1287] |               |
| 204599:3138 |          249 |  36.608 (/pb) |    [73-83], [85-94], |  35.474 (/pb) |
|             |              |               | [97-121], [124-125], |               |
|             |              |               |           [128-173], |               |
|             |              |               |           [175-240], |               |
|             |              |               |           [243-245], |               |
|             |              |               |           [248-264], |               |
|             |              |               | [266-292], [294-335] |               |
| 204601:3138 |         1228 | 106.366 (/pb) |     [1-25], [28-62], | 105.240 (/pb) |
|             |              |               |    [65-80], [83-89], |               |
|             |              |               | [92-290], [292-563], |               |
|             |              |               |           [565-591], |               |
|             |              |               |           [593-652], |               |
|             |              |               |           [655-780], |               |
|             |              |               |           [783-812], |               |
|             |              |               |           [814-892], |               |
|             |              |               |           [894-984], |               |
|             |              |               |          [986-1003], |               |
|             |              |               |         [1006-1038], |               |
|             |              |               |         [1040-1088], |               |
|             |              |               |         [1091-1102], |               |
|             |              |               |         [1105-1161], |               |
|             |              |               |          [1164-1255] |               |
| 205086:3169 |           55 | 401.737 (/nb) |             [95-149] | 390.694 (/nb) |
| 205111:3178 |          359 |  47.843 (/pb) | [88-390], [392-441], |  46.890 (/pb) |
|             |              |               |            [444-449] |               |
| 205158:3182 |          643 |  76.077 (/pb) | [81-289], [292-313], |  74.721 (/pb) |
|             |              |               |           [315-473], |               |
|             |              |               |           [476-591], |               |
|             |              |               |           [594-595], |               |
|             |              |               |           [597-612], |               |
|             |              |               |           [615-663], |               |
|             |              |               |           [665-667], |               |
|             |              |               |           [672-685], |               |
|             |              |               | [687-733], [736-741] |               |
| 205193:3185 |          817 |  93.203 (/pb) | [80-109], [111-349], |  91.812 (/pb) |
|             |              |               |           [352-486], |               |
|             |              |               |           [488-650], |               |
|             |              |               | [652-712], [714-902] |               |
| 205217:3185 |          314 |  23.928 (/pb) |    [1-12], [16-111], |  23.738 (/pb) |
|             |              |               |           [113-171], |               |
|             |              |               | [174-250], [253-322] |               |
| 205233:3188 |           60 |   8.796 (/pb) |             [94-153] |   8.458 (/pb) |
| 205236:3188 |          345 |  40.483 (/pb) |  [1-190], [193-207], |  39.727 (/pb) |
|             |              |               |           [209-260], |               |
|             |              |               | [263-331], [334-352] |               |
| 205238:3188 |          610 |  50.466 (/pb) |      [1-6], [9-199], |  49.885 (/pb) |
|             |              |               |           [202-254], |               |
|             |              |               |           [256-304], |               |
|             |              |               |           [306-355], |               |
|             |              |               |           [358-381], |               |
|             |              |               | [384-596], [598-621] |               |
| 205303:3191 |           82 |  10.289 (/pb) |   [35-54], [90-132], |  10.076 (/pb) |
|             |              |               |            [135-153] |               |
| 205310:3192 |          474 |  58.911 (/pb) | [76-306], [309-313], |  57.833 (/pb) |
|             |              |               |           [316-316], |               |
|             |              |               |           [319-321], |               |
|             |              |               | [324-457], [460-559] |               |
| 205311:3192 |         1249 |  89.693 (/pb) |     [1-85], [88-92], |  88.841 (/pb) |
|             |              |               | [95-183], [186-395], |               |
|             |              |               |           [397-592], |               |
|             |              |               |           [595-910], |               |
|             |              |               |           [913-1260] |               |
| 205339:3194 |          326 |  42.174 (/pb) | [71-175], [178-213], |  41.351 (/pb) |
|             |              |               |           [216-230], |               |
|             |              |               | [233-262], [265-404] |               |
| 205344:3194 |         1576 | 120.901 (/pb) |    [1-83], [86-104], | 119.719 (/pb) |
|             |              |               |           [106-359], |               |
|             |              |               |           [362-431], |               |
|             |              |               |           [433-949], |               |
|             |              |               |           [951-967], |               |
|             |              |               |          [969-1127], |               |
|             |              |               |         [1129-1346], |               |
|             |              |               |          [1348-1586] |               |
| 205515:3200 |          134 |  17.793 (/pb) |  [82-201], [203-216] |  17.229 (/pb) |
| 205519:3200 |          464 |  44.333 (/pb) |    [1-47], [50-172], |  43.702 (/pb) |
|             |              |               |           [175-367], |               |
|             |              |               | [370-386], [389-472] |               |
| 205526:3200 |          328 |  22.441 (/pb) |  [1-269], [272-277], |  22.237 (/pb) |
|             |              |               |            [280-332] |               |
| 205614:3201 |           38 |   4.082 (/pb) |        [1-4], [7-40] |   3.942 (/pb) |
| 205617:3201 |          536 |  45.168 (/pb) |    [1-29], [32-102], |  44.636 (/pb) |
|             |              |               |           [105-123], |               |
|             |              |               |           [125-140], |               |
|             |              |               |           [143-264], |               |
|             |              |               |           [266-448], |               |
|             |              |               | [451-532], [534-547] |               |
| 205618:3201 |           12 | 802.421 (/nb) |               [1-12] | 758.354 (/nb) |
| 205620:3201 |          175 |  10.545 (/pb) |              [1-175] |  10.476 (/pb) |
| 205666:3203 |          668 |  84.732 (/pb) | [60-119], [122-165], |  83.018 (/pb) |
|             |              |               |           [168-259], |               |
|             |              |               |           [261-322], |               |
|             |              |               |           [325-578], |               |
|             |              |               |           [580-594], |               |
|             |              |               | [597-721], [724-739] |               |
| 205667:3203 |         1095 |  85.347 (/pb) |  [1-165], [168-282], |  84.588 (/pb) |
|             |              |               |           [285-318], |               |
|             |              |               |           [321-412], |               |
|             |              |               |           [415-689], |               |
|             |              |               |           [692-751], |               |
|             |              |               |           [754-774], |               |
|             |              |               |           [777-1109] |               |
| 205683:3204 |          224 |  28.864 (/pb) |   [76-82], [85-178], |  28.151 (/pb) |
|             |              |               | [181-198], [201-305] |               |
| 205690:3204 |           40 |   4.408 (/pb) |               [1-40] |   4.312 (/pb) |
| 205694:3204 |          881 |  62.458 (/pb) |  [1-205], [208-230], |  61.904 (/pb) |
|             |              |               |           [233-347], |               |
|             |              |               |           [350-452], |               |
|             |              |               | [455-593], [595-890] |               |
| 205718:3207 |          672 |  85.849 (/pb) |    [49-75], [78-97], |  83.736 (/pb) |
|             |              |               |           [100-103], |               |
|             |              |               |           [105-176], |               |
|             |              |               |           [178-338], |               |
|             |              |               |           [341-361], |               |
|             |              |               |           [363-524], |               |
|             |              |               |           [527-531], |               |
|             |              |               | [534-589], [591-734] |               |
| 205774:3208 |           80 |  10.879 (/pb) |               [1-80] |  10.678 (/pb) |
| 205777:3208 |            9 |   1.185 (/pb) |                [1-9] | 914.475 (/nb) |
| 205781:3208 |          506 |  54.691 (/pb) |    [1-89], [91-197], |  53.870 (/pb) |
|             |              |               |            [200-509] |               |
| 205826:3209 |          386 |  51.228 (/pb) | [80-232], [235-303], |  50.218 (/pb) |
|             |              |               |            [306-469] |               |
| 205833:3210 |          264 |  38.815 (/pb) |   [84-86], [89-121], |  37.708 (/pb) |
|             |              |               |           [123-155], |               |
|             |              |               |           [157-165], |               |
|             |              |               |           [167-173], |               |
|             |              |               |           [176-219], |               |
|             |              |               |           [221-267], |               |
